tweet_id,favorites,retweets,timestamp
874057562936811520,20006,3359,Mon Jun 12 00:15:36 +0000 2017
874012996292530176,29945,8531,Sun Jun 11 21:18:31 +0000 2017
873580283840344065,21259,3328,Sat Jun 10 16:39:04 +0000 2017
873337748698140672,0,1324,Sat Jun 10 00:35:19 +0000 2017
873213775632977920,6287,1324,Fri Jun 09 16:22:42 +0000 2017
872967104147763200,23906,4531,Fri Jun 09 00:02:31 +0000 2017
872820683541237760,12983,3152,Thu Jun 08 14:20:41 +0000 2017
872620804844003328,18211,3052,Thu Jun 08 01:06:27 +0000 2017
872486979161796608,35874,7666,Wed Jun 07 16:14:40 +0000 2017
872122724285648897,30018,6784,Tue Jun 06 16:07:15 +0000 2017
871879754684805121,32847,9182,Tue Jun 06 00:01:46 +0000 2017
871762521631449091,17755,2944,Mon Jun 05 16:15:56 +0000 2017
871515927908634625,17797,2921,Sun Jun 04 23:56:03 +0000 2017
871166179821445120,0,4869,Sun Jun 04 00:46:17 +0000 2017
871102520638267392,18438,4640,Sat Jun 03 20:33:19 +0000 2017
871032628920680449,20043,3204,Sat Jun 03 15:55:36 +0000 2017
870804317367881728,29632,5251,Sat Jun 03 00:48:22 +0000 2017
870726314365509632,105,3,Fri Jun 02 19:38:25 +0000 2017
870656317836468226,10823,2187,Fri Jun 02 15:00:16 +0000 2017
870374049280663552,73506,22601,Thu Jun 01 20:18:38 +0000 2017
870308999962521604,19362,3525,Thu Jun 01 16:00:09 +0000 2017
870063196459192321,32217,7037,Wed May 31 23:43:25 +0000 2017
869772420881756160,37775,8639,Wed May 31 04:27:59 +0000 2017
869702957897576449,24902,5350,Tue May 30 23:51:58 +0000 2017
869596645499047938,14093,2620,Tue May 30 16:49:31 +0000 2017
869227993411051520,18019,3176,Mon May 29 16:24:37 +0000 2017
868880397819494401,57555,12168,Sun May 28 17:23:24 +0000 2017
868639477480148993,0,1734,Sun May 28 01:26:04 +0000 2017
868622495443632128,23491,4431,Sun May 28 00:18:35 +0000 2017
868552278524837888,8906,1734,Sat May 27 19:39:34 +0000 2017
867900495410671616,21459,3549,Fri May 26 00:29:37 +0000 2017
867774946302451713,30061,6215,Thu May 25 16:10:44 +0000 2017
867421006826221569,14252,2104,Wed May 24 16:44:18 +0000 2017
867072653475098625,0,100,Tue May 23 17:40:04 +0000 2017
867051520902168576,28526,6738,Tue May 23 16:16:06 +0000 2017
866720684873056260,17756,4105,Mon May 22 18:21:28 +0000 2017
866686824827068416,17006,2941,Mon May 22 16:06:55 +0000 2017
866450705531457537,108173,29974,Mon May 22 00:28:40 +0000 2017
866334964761202691,46298,12138,Sun May 21 16:48:45 +0000 2017
866094527597207552,0,7120,Sun May 21 00:53:21 +0000 2017
865718153858494464,22790,4799,Fri May 19 23:57:46 +0000 2017
865359393868664832,23421,4259,Fri May 19 00:12:11 +0000 2017
865006731092295680,24889,6620,Thu May 18 00:50:50 +0000 2017
864873206498414592,28653,7460,Wed May 17 16:00:15 +0000 2017
864279568663928832,12984,2562,Tue May 16 00:41:21 +0000 2017
864197398364647424,26460,7525,Mon May 15 19:14:50 +0000 2017
863907417377173506,18313,3567,Mon May 15 00:02:33 +0000 2017
863553081350529029,13599,3604,Sun May 14 00:34:33 +0000 2017
863471782782697472,0,2078,Sat May 13 19:11:30 +0000 2017
863432100342583297,21158,4529,Sat May 13 16:33:49 +0000 2017
863427515083354112,1950,80,Sat May 13 16:15:35 +0000 2017
863079547188785154,7844,944,Fri May 12 17:12:53 +0000 2017
863062471531167744,7472,2078,Fri May 12 16:05:02 +0000 2017
